%time,Date,ProdA,ProdB,avg_nr_harvested_trusses,Truss development time ,Nr_fruits_ClassA,Weight_fruits_ClassA,Nr_fruits_ClassB,Weight_fruits_ClassB
43875,14/02/2020 00:00,0.12,0,0.2,45,NA,213,0,0
43880,19/02/2020 00:00,0.5,0,1.1,48.7,NA,1250,0,0
43885,24/02/2020 00:00,0.58,0,1,48.3,131,1224,0,0
43889,28/02/2020 00:00,0.27,0,0.8,50.1,128,1187,0,0
43894,04/03/2020 00:00,0.73,0,0.8,50.8,143,1328,0,0
43899,09/03/2020 00:00,0.67,0,1.5,50.4,167,1713,0,0
43903,13/03/2020 00:00,0.12,0,0.3,53.3,33,341,0,0
43908,18/03/2020 00:00,0.49,0,0.9,49.8,116,1125,0,0
43913,23/03/2020 00:00,0.48,0,0.5,49.8,69,637.7,0,0
43917,27/03/2020 00:00,0.38,0,0.6,52.4,75,710,0,0
43922,01/04/2020 00:00,0.6,0,0.9,52.1,124,1288,0,0
43927,06/04/2020 00:00,0.47,0,1.1,50.9,138,1474,0,0
43931,10/04/2020 00:00,0.41,0,0.9,49.1,129,1375,0,0
43936,15/04/2020 00:00,0.64,0,0.9,48.6,126,1353,0,0
43941,20/04/2020 00:00,0.51,0,1.4,46.4,193,2248,0,0
43945,24/04/2020 00:00,0.4,0,0.5,46.8,70,822,0,0
43950,29/04/2020 00:00,0.67,0,1.2,46.8,193,1945,0,0
43955,04/05/2020 00:00,0.71,0,1,46.6,140,1587,0,0
43959,08/05/2020 00:00,0.76,0,1.2,44.1,156,1793,0,0
43964,13/05/2020 00:00,0.72,0,1,43.4,126,1482,0,0
43969,18/05/2020 00:00,0.79,0,0.6,46.4,85,1054,0,0
43973,22/05/2020 00:00,0.86,0,1.1,43.7,152,2018,0,0
43977,26/05/2020 00:00,0.67,0,0.9,41.8,132,1974,0,0
43980,29/05/2020 00:00,1.11,0.1,1.3,40.3,153,2471,24,382
