%Time,Date,Stem_elong,Stem_thick,Cum_trusses,stem_dens ,plant_dens
43823,24/12/2019 00:00,14.5,8.1,NA,3.9,1.95
43830,31/12/2019 00:00,29.5,10.8,1.3,3.9,1.95
43838,08/01/2020 00:00,37.4,12.8,3,3.9,1.95
43845,15/01/2020 00:00,34,12.5,4.7,3.9,1.95
43852,22/01/2020 00:00,34.7,10.9,5.9,3.9,1.95
43859,29/01/2020 00:00,36.2,11.4,6.9,3.9,1.95
43866,05/02/2020 00:00,32.4,10.6,7.9,3.9,1.95
43873,12/02/2020 00:00,37.2,11.1,9.3,3.9,1.95
43880,19/02/2020 00:00,37.8,11.3,10.5,3.9,1.95
43887,26/02/2020 00:00,35.8,11.6,11.8,3.9,1.95
43894,04/03/2020 00:00,35.9,11.7,13.1,3.9,1.95
43901,11/03/2020 00:00,36,12,14.7,3.9,1.95
43908,18/03/2020 00:00,39.8,11.3,16.1,3.9,1.95
43915,25/03/2020 00:00,37.8,10.8,17.4,5.85,1.95
43922,01/04/2020 00:00,35,10,18.8,5.85,1.95
43929,08/04/2020 00:00,33.2,9.8,20.2,5.85,1.95
43936,15/04/2020 00:00,30.7,9.6,21.7,5.85,1.95
43943,22/04/2020 00:00,26.8,8.8,22.6,5.85,1.95
43950,29/04/2020 00:00,NA,NA,22.6,5.85,1.95
43957,06/05/2020 00:00,NA,NA,NA,5.85,1.95
43964,13/05/2020 00:00,NA,NA,NA,5.85,1.95
43971,20/05/2020 00:00,NA,NA,NA,5.85,1.95
43978,27/05/2020 00:00,NA,NA,NA,5.85,1.95
