%Time,Date,irr_PH,irr_EC,irr_NH4,irr_K,irr_Na,irr_Ca,irr_Mg,irr_Si,irr_NO3,irr_Cl,irr_SO4,irr_HCO3,irr_PO4,irr_Fe,irr_Mn,irr_Zn,irr_B,irr_Cu,irr_Mo,drain_PH,drain_EC,drain_NH4,drain_K,drain_Na,drain_Ca,drain_Mg,drain_Si,drain_NO3,drain_Cl,drain_SO4,drain_HCO3,drain_PO4,drain_Fe,drain_Mn,drain_Zn,drain_B,drain_Cu,drain_Mo
43836,06/01/2020 00:00,5.3,4,0.9,14.2,0.3,9.1,4.5,0.09,20.2,5.4,8.1,0.09,2.6,18.3,12.9,4.3,39,0.7,0.48,6.8,3.4,0.09,12.7,0.5,8.6,5.3,0.09,8.4,6.3,11.2,2,1.4,22.1,5.8,5.3,37,0.9,0.54
43850,20/01/2020 00:00,5,3.8,0.9,13.6,0.3,7.6,4.2,0.09,16.6,4.6,6.8,0.09,3,18.1,19.4,3.1,42,0.8,0.51,7.4,3.4,0.09,7.3,1.1,9.7,8,0.3,0.4,3.5,19.6,2.2,0.43,32.6,1.2,11.2,64,1.2,1.6
43864,03/02/2020 00:00,4.3,3.5,1.1,13.5,0.3,7.2,4.2,0.09,14,5.7,6.6,0.09,4.1,18.6,19.5,3.3,47,0.8,0.49,5.8,4,0.09,12.3,0.8,11,7.5,0.4,9.2,7.7,13.4,0.5,5,17.5,6.5,4.6,76,1,0.53
43879,18/02/2020 00:00,4.8,3.1,1.2,11.8,0.3,5.8,3.7,0.09,10,5.3,6,0.09,3.7,22.9,25.4,3.6,55,0.9,0.64,5.5,4,0.09,10.2,0.9,10.3,7.7,0.8,6.6,8,12.6,0.1,5.7,18.7,12.6,5.7,104,1.3,0.46
43893,03/03/2020 00:00,4.8,3.6,1,12.7,0.4,7,4.1,0.01,12.5,5.9,6.8,0.1,4.29,21,27,4,56,1,0.7,5.2,4.4,0.1,12.6,0.9,11.4,7.9,0.61,8.5,9.4,12.8,0.1,6.65,20,14,6.8,102,1.3,0.5
43908,18/03/2020 00:00,6,3.7,0.09,12.9,0.3,7.6,3.9,0.009,12.2,6,6.8,0.3,3.13,30,51,6.2,67,1.1,1,5.6,4.7,0.09,14.2,0.7,11.2,6.4,0.27,10.9,9.2,12.3,0.09,4.8,31,33,10,116,1.5,2.3
43921,31/03/2020 00:00,5.8,3.6,0.09,12,0.3,7.1,4,0.009,12.9,6.1,6.3,0.1,2.95,28,52,7.3,61,1.5,0.8,5.6,4.8,0.09,14.6,0.6,11.2,7,0.22,13.3,9.2,12,0.09,4.58,36,40,13,112,2.3,1.5
43936,15/04/2020 00:00,5.4,3.5,0.09,11.9,0.3,7.1,3.5,0.009,13.5,5.8,6.3,0.09,2.95,43,50,8.3,93,1.2,0.8,5.9,4.6,0.09,15.3,0.6,10.3,6.3,0.11,15.1,9.2,11,0.09,4.42,29,65,11,156,1.3,1.3
43951,30/04/2020 00:00,5.6,2.9,1.4,9.6,0.2,6.6,2.3,0.01,16,1,3.9,0.9,2.82,27,22,3.6,33,0.6,0.5,5.5,4.4,0.1,16.3,0.4,12.4,3.2,0.06,24.4,0.3,8.4,0.3,4.41,18,5.6,7,37,0.6,0.4
43963,12/05/2020 00:00,5.4,3.7,0.1,12.4,0.4,7.1,4.2,0.01,13.5,5.8,6.3,0.1,2.89,36,53,7.3,71,1.4,1.1,5.7,6.2,0.09,22.2,0.7,14.4,8.6,0.19,23.6,11.4,14.1,0.09,5.29,37,73,10,150,1.4,1.7
