%time,Date,ProdA,ProdB,avg_nr_harvested_trusses,Truss development time ,Nr_fruits_ClassA,Weight_fruits_ClassA,Nr_fruits_ClassB,Weight_fruits_ClassB
43880,19/02/2020 00:00,0.07,0,0.1,50,NA,218,0,0
43885,24/02/2020 00:00,0.97,0,1,55,158,1343,0,0
43889,28/02/2020 00:00,0.39,0,0.9,53,145,1255,0,0
43894,04/03/2020 00:00,0.82,0,1.5,54,239,2207,0,0
43899,09/03/2020 00:00,0.87,0,1,53,168,1585,0,0
43903,13/03/2020 00:00,0.45,0,0.9,53,121,1138,0,0
43908,18/03/2020 00:00,0.5,0,1,51,113,1138,0,0
43913,23/03/2020 00:00,0.28,0,0.7,52,63,510.2,0,0
43917,27/03/2020 00:00,0.44,0,0.8,50,78,668,0,0
43922,01/04/2020 00:00,0.4,0,0.7,51,116,1124,0,0
43927,06/04/2020 00:00,0.68,0,1,52,146,1406,0,0
43931,10/04/2020 00:00,0.49,0,0.9,48,144,1402,0,0
43936,15/04/2020 00:00,0.69,0,1,49,162,1517,0,0
43941,20/04/2020 00:00,0.65,0,0.7,48,116,1067,0,0
43945,24/04/2020 00:00,0.64,0.0022,1.2,47,194,1822,0,0
43950,29/04/2020 00:00,0.65,0.0028,1.2,47,195,1920,0,0
43955,04/05/2020 00:00,0.81,0.0065,1.2,47,151,1446,0,0
43959,08/05/2020 00:00,0.51,0.0058,0.9,45,113,1067,15,136
43964,13/05/2020 00:00,0.85,0.073,1.5,44,141,1359,22,218
43969,18/05/2020 00:00,0.52,0.0967,0.7,43,90,740,0,0
43973,22/05/2020 00:00,1.07,0.2621,1.3,41,164,1489,0,0
43977,26/05/2020 00:00,0.64,0.0097,0.8,41,60,613,0,0
43980,29/05/2020 00:00,0.97,0.1,1.2,40,149,1445,0,0
