%Time,Date,Stem_elong,Stem_thick,Cum_trusses,stem_dens ,plant_dens
43823,24/12/2019 00:00,15,8,NA,2.6,1.3
43830,31/12/2019 00:00,20.5,10.6,1,2.6,1.3
43838,08/01/2020 00:00,28.1,13.2,2.9,2.6,1.3
43845,15/01/2020 00:00,35.9,13.5,4.3,2.6,1.3
43852,22/01/2020 00:00,33.3,12.1,5.8,3.9,1.3
43859,29/01/2020 00:00,31.3,12,6.7,3.9,1.3
43866,05/02/2020 00:00,27.1,12.5,7.6,3.9,1.3
43873,12/02/2020 00:00,28,11.9,8.7,3.9,1.3
43880,19/02/2020 00:00,29.5,11.7,9.9,3.9,1.3
43887,26/02/2020 00:00,28,10.7,11.3,3.9,1.3
43894,04/03/2020 00:00,29.2,11.2,12.4,3.9,1.3
43901,11/03/2020 00:00,30.6,11.3,13.6,3.9,1.3
43908,18/03/2020 00:00,32.3,9.7,15.2,3.9,1.3
43915,25/03/2020 00:00,27.3,9.4,16.3,3.9,1.3
43922,01/04/2020 00:00,28,9.3,17.5,3.9,1.3
43929,08/04/2020 00:00,32.2,9.9,19.1,3.9,1.3
43936,15/04/2020 00:00,36.8,10.7,20.1,5.2,1.3
43943,22/04/2020 00:00,33.7,9.6,21.5,5.2,1.3
43950,29/04/2020 00:00,NA,NA,22,5.2,1.3
43957,06/05/2020 00:00,NA,NA,NA,5.2,1.3
43964,13/05/2020 00:00,NA,NA,NA,5.2,1.3
43971,20/05/2020 00:00,NA,NA,NA,5.2,1.3
43978,27/05/2020 00:00,NA,NA,NA,5.2,1.3
