%time,Date,ProdA,ProdB,avg_nr_harvested_trusses,Truss development time ,Nr_fruits_ClassA,Weight_fruits_ClassA,Nr_fruits_ClassB,Weight_fruits_ClassB
43880,19/02/2020 00:00,0.05,0.1,0.1,50,0,70,0,0
43885,24/02/2020 00:00,0.31,0,1.1,54,177,1750,0,0
43889,28/02/2020 00:00,0.31,0,0.7,52,117,1102,0,0
43894,04/03/2020 00:00,0.79,0,1.1,54,212,2213,0,0
43899,09/03/2020 00:00,0.42,0,0.8,57,151,1349,0,0
43903,13/03/2020 00:00,0.27,0,0.4,56,82,832,0,0
43908,18/03/2020 00:00,0.68,0,1,57,188,1944,0,0
43913,23/03/2020 00:00,0.62,0,1.2,55,213,1865.5,0,0
43917,27/03/2020 00:00,0.35,0,0.3,60,54,560,0,0
43922,01/04/2020 00:00,0.44,0,0.5,59,109,975,0,0
43927,06/04/2020 00:00,0.44,0,0.2,58,39,374,0,0
43931,10/04/2020 00:00,0.51,0,1.1,59,186,1626,0,0
43936,15/04/2020 00:00,0.93,0,1,58,176,1609,0,0
43941,20/04/2020 00:00,0.73,0,1.3,56,239,2040,0,0
43945,24/04/2020 00:00,0.47,0,0.6,56,106,1065,0,0
43950,29/04/2020 00:00,1.02,0,1.6,53,277,2596,0,0
43955,04/05/2020 00:00,0.7,0,1.2,51,201,1991,0,0
43959,08/05/2020 00:00,0.61,0,1,50,158,1557,0,0
43964,13/05/2020 00:00,0.74,0,1.1,49,157,1628,0,0
43969,18/05/2020 00:00,1.05,0.00322,1.2,43,121,1420,0,0
43973,22/05/2020 00:00,0.34,0,1.5,46,88,963,44,488
43977,26/05/2020 00:00,0.8,0,0.7,39,41,505,0,0
43980,29/05/2020 00:00,0.93,0.6,2.2,36,86,1291,20,245
