%Time,Date,Stem_elong,Stem_thick,Cum_trusses,stem_dens ,plant_dens
43823,24/12/2019 00:00,19.5,8,NA,3.9,1.95
43830,31/12/2019 00:00,26.6,10.2,0.9,3.9,1.95
43838,08/01/2020 00:00,32.2,11.9,2.3,3.9,1.95
43845,15/01/2020 00:00,27.2,12.2,3.8,3.9,1.95
43852,22/01/2020 00:00,29.9,12.7,5,3.9,1.95
43859,29/01/2020 00:00,28.8,10.7,6.4,3.9,1.95
43866,05/02/2020 00:00,31.6,11.5,7.7,3.9,1.95
43873,12/02/2020 00:00,34.9,11.2,8.7,3.9,1.95
43880,19/02/2020 00:00,36.8,10.5,10.1,4.8,1.95
43887,26/02/2020 00:00,37.1,10.5,11.3,4.8,1.95
43894,04/03/2020 00:00,35.9,11,12.5,4.8,1.95
43901,11/03/2020 00:00,33.8,11,13.8,4.8,1.95
43908,18/03/2020 00:00,32.8,10.6,15.2,4.8,1.95
43915,25/03/2020 00:00,30.2,11.3,16.5,4.8,1.95
43922,01/04/2020 00:00,28.4,10.7,17.8,4.8,1.95
43929,08/04/2020 00:00,27.9,10.2,18.8,4.8,1.95
43936,15/04/2020 00:00,34.3,9.9,20.3,4.8,1.95
43943,22/04/2020 00:00,36.3,9.3,21.7,4.8,1.95
43950,29/04/2020 00:00,NA,NA,21.7,4.8,1.95
43957,06/05/2020 00:00,NA,NA,NA,4.8,1.95
43964,13/05/2020 00:00,NA,NA,NA,4.8,1.95
43971,20/05/2020 00:00,NA,NA,NA,4.8,1.95
43978,27/05/2020 00:00,NA,NA,NA,4.8,1.95
