%Time,Date,Stem_elong,Stem_thick,Cum_trusses,stem_dens ,plant_dens
43823,24/12/2019 00:00,14.2,7.2,NA,NA,1.4
43830,31/12/2019 00:00,26.6,9.6,1.2,4,1.4
43838,08/01/2020 00:00,35.9,12,3.1,4,1.4
43845,15/01/2020 00:00,33.1,11.8,4.7,4,1.4
43852,22/01/2020 00:00,38.8,11.3,6,4,1.4
43859,29/01/2020 00:00,35.2,11.4,7.1,4,1.4
43866,05/02/2020 00:00,39,11,8.7,4,1.4
43873,12/02/2020 00:00,38.3,10.7,9.9,4,1.4
43880,19/02/2020 00:00,36.3,10.7,11.2,4,1.4
43887,26/02/2020 00:00,33.7,10.8,12.4,4,1.4
43894,04/03/2020 00:00,31.3,10.4,13.7,4,1.4
43901,11/03/2020 00:00,35.4,11,15.1,4,1.4
43908,18/03/2020 00:00,35.1,10.5,16.6,4,1.4
43915,25/03/2020 00:00,31.6,10.1,17.9,4,1.4
43922,01/04/2020 00:00,33.5,10.5,19.6,4,1.4
43929,08/04/2020 00:00,32.4,8.7,21,4,1.4
43936,15/04/2020 00:00,32.8,8.3,22.3,8,1.4
43943,22/04/2020 00:00,8.5,6.7,23.2,8,1.4
43950,29/04/2020 00:00,NA,NA,23.2,8,1.4
43957,06/05/2020 00:00,NA,NA,NA,8,1.4
43964,13/05/2020 00:00,NA,NA,NA,8,1.4
43971,20/05/2020 00:00,NA,NA,NA,8,1.4
43978,27/05/2020 00:00,NA,NA,NA,8,1.4
