%time,Date,EC_slab1,EC_slab2,WC_slab1,WC_slab2,t_slab1,t_slab2
43815,16/12/2019 00:00,NA,NA,NA,NA,NA,NA
43815.00347,16/12/2019 00:05,NA,NA,NA,NA,NA,NA
43815.00694,16/12/2019 00:10,NA,NA,NA,NA,NA,NA
43815.01042,16/12/2019 00:15,NA,NA,NA,NA,NA,NA
43815.01389,16/12/2019 00:20,NA,NA,NA,NA,NA,NA
43815.01736,16/12/2019 00:25,NA,NA,NA,NA,NA,NA
43815.02083,16/12/2019 00:30,NA,NA,NA,NA,NA,NA
43815.02431,16/12/2019 00:35,NA,NA,NA,NA,NA,NA
43815.02778,16/12/2019 00:40,NA,NA,NA,NA,NA,NA
43815.03125,16/12/2019 00:45,NA,NA,NA,NA,NA,NA
43815.03472,16/12/2019 00:50,NA,NA,NA,NA,NA,NA
43815.03819,16/12/2019 00:55,NA,NA,NA,NA,NA,NA
43815.04167,16/12/2019 01:00,NA,NA,NA,NA,NA,NA
43815.04514,16/12/2019 01:05,NA,NA,NA,NA,NA,NA
43815.04861,16/12/2019 01:10,NA,NA,NA,NA,NA,NA
43815.05208,16/12/2019 01:15,NA,NA,NA,NA,NA,NA
43815.05556,16/12/2019 01:20,NA,NA,NA,NA,NA,NA
43815.05903,16/12/2019 01:25,NA,NA,NA,NA,NA,NA
43815.0625,16/12/2019 01:30,NA,NA,NA,NA,NA,NA
43815.06597,16/12/2019 01:35,NA,NA,NA,NA,NA,NA
43815.06944,16/12/2019 01:40,NA,NA,NA,NA,NA,NA
43815.07292,16/12/2019 01:45,NA,NA,NA,NA,NA,NA
43815.07639,16/12/2019 01:50,NA,NA,NA,NA,NA,NA
43815.07986,16/12/2019 01:55,NA,NA,NA,NA,NA,NA
43815.08333,16/12/2019 02:00,NA,NA,NA,NA,NA,NA
43815.08681,16/12/2019 02:05,NA,NA,NA,NA,NA,NA
43815.09028,16/12/2019 02:10,NA,NA,NA,NA,NA,NA
43815.09375,16/12/2019 02:15,NA,NA,NA,NA,NA,NA
43815.09722,16/12/2019 02:20,NA,NA,NA,NA,NA,NA
43815.10069,16/12/2019 02:25,NA,NA,NA,NA,NA,NA
43815.10417,16/12/2019 02:30,NA,NA,NA,NA,NA,NA
43815.10764,16/12/2019 02:35,NA,NA,NA,NA,NA,NA
43815.11111,16/12/2019 02:40,NA,NA,NA,NA,NA,NA
43815.11458,16/12/2019 02:45,NA,NA,NA,NA,NA,NA
43815.11806,16/12/2019 02:50,NA,NA,NA,NA,NA,NA
43815.12153,16/12/2019 02:55,NA,NA,NA,NA,NA,NA
43815.125,16/12/2019 03:00,NA,NA,NA,NA,NA,NA
43815.12847,16/12/2019 03:05,NA,NA,NA,NA,NA,NA
43815.13194,16/12/2019 03:10,NA,NA,NA,NA,NA,NA
43815.13542,16/12/2019 03:15,NA,NA,NA,NA,NA,NA
43815.13889,16/12/2019 03:20,NA,NA,NA,NA,NA,NA
43815.14236,16/12/2019 03:25,NA,NA,NA,NA,NA,NA
