%time,Date,ProdA,ProdB,avg_nr_harvested_trusses,Truss development time ,Nr_fruits_ClassA,Weight_fruits_ClassA,Nr_fruits_ClassB,Weight_fruits_ClassB
43510,14/02/2019 00:00,0.32,0,NA,45,NA,717,0,0
43880,19/02/2020 00:00,0.32,0.0022,1,45,NA,964,0,0
43885,24/02/2020 00:00,0.72,0,0.6,47,82,655,0,0
43889,28/02/2020 00:00,0.4,0,1.2,48,199,1468,0,0
43894,04/03/2020 00:00,0.34,0,0.3,49,45,361,0,0
43899,09/03/2020 00:00,0.49,0,1.1,52,184,1398,0,0
43903,13/03/2020 00:00,0.37,0,0.4,49,56,437,0,0
43908,18/03/2020 00:00,0.61,0,0.9,54,134,1040,0,0
43913,23/03/2020 00:00,0.46,0,0.9,53,138,1062.2,0,0
43917,27/03/2020 00:00,0.37,0,0.9,50,144,1256,0,0
43922,01/04/2020 00:00,0.91,0.0008,2.5,48,313,2810,0,0
43927,06/04/2020 00:00,0.3,0,0.6,47,40,420,0,0
43931,10/04/2020 00:00,0.17,0,0.5,43,50,480,0,0
43936,15/04/2020 00:00,0.71,0,1,47,137,1308,0,0
43941,20/04/2020 00:00,0.66,0,0.7,48,116,1183,0,0
43945,24/04/2020 00:00,0.74,0,1.2,46,201,2128,0,0
43950,29/04/2020 00:00,0.81,0,1.1,44,204,2116,0,0
43955,04/05/2020 00:00,0.64,0,1.3,45,170,1773,0,0
43959,08/05/2020 00:00,0.59,0,0.8,44,82,793,0,0
43964,13/05/2020 00:00,0.68,0,1,43,142,1308,0,0
43969,18/05/2020 00:00,0.89,0,1.3,44,189,1708,0,0
43973,22/05/2020 00:00,0.78,0,0.7,43,82,690,0,0
43977,26/05/2020 00:00,0.97,0,1.1,41,98,936,0,0
43980,29/05/2020 00:00,1.05,0,1.1,39,103,1127,0,0
