%Time,Date,Stem_elong,Stem_thick,Cum_trusses,stem_dens ,plant_dens
43823,24/12/2019 00:00,14.4,7.1,NA,3.6,1.8
43830,31/12/2019 00:00,27.9,10.5,0.9,3.6,1.8
43838,08/01/2020 00:00,32.8,12.8,2.8,3.6,1.8
43845,15/01/2020 00:00,30.2,12.8,4,3.6,1.8
43852,22/01/2020 00:00,30.3,12.5,5.2,4.5,1.8
43859,29/01/2020 00:00,33.6,11.5,6.7,4.5,1.8
43866,05/02/2020 00:00,34.7,11.3,7.8,4.5,1.8
43873,12/02/2020 00:00,39.3,11.3,8.9,5.4,1.8
43880,19/02/2020 00:00,39.3,11.7,10.2,5.4,1.8
43887,26/02/2020 00:00,36.6,10.8,11.4,5.4,1.8
43894,04/03/2020 00:00,34.4,11.7,12.7,5.4,1.8
43901,11/03/2020 00:00,36,12,14.1,5.4,1.8
43908,18/03/2020 00:00,32.5,10.9,15.5,5.4,1.8
43915,25/03/2020 00:00,35.6,11.1,16.9,5.4,1.8
43922,01/04/2020 00:00,29.4,10.3,18.1,5.4,1.8
43929,08/04/2020 00:00,31.5,10.4,19.6,5.4,1.8
43936,15/04/2020 00:00,31.9,9.9,20.8,5.4,1.8
43943,22/04/2020 00:00,32.2,9.6,22.2,5.4,1.8
43950,29/04/2020 00:00,NA,NA,23.8,5.4,1.8
43957,06/05/2020 00:00,NA,NA,NA,5.4,1.8
43964,13/05/2020 00:00,NA,NA,NA,5.4,1.8
43971,20/05/2020 00:00,NA,NA,NA,5.4,1.8
43978,27/05/2020 00:00,NA,NA,NA,5.4,1.8
